#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9845/ccs	990
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9884/ccs	1196
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9886/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9891/ccs	1084
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9928/ccs	1162
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9930/ccs	491
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9968/ccs	485
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10104/ccs	1025
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10108/ccs	1102
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10110/ccs	1398
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10164/ccs	617
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10167/ccs	888
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10182/ccs	884
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10201/ccs	1375
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10254/ccs	471
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10265/ccs	1093
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10272/ccs	1563
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10301/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10369/ccs	833
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10389/ccs	1529
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10414/ccs	511
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10440/ccs	657
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10454/ccs	549
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10489/ccs	2499
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10522/ccs	892
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10531/ccs	2263
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10580/ccs	704
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10678/ccs	1157
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10697/ccs	1167
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10716/ccs	463
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10741/ccs	633
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10784/ccs	715
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10846/ccs	1941
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/10922/ccs	535
